State,Year,INSURABLE_POPULATION
TN,2007,4523043
TN,2008,4577033
TN,2009,4631248
TN,2010,4682619
TN,2011,4731975
TN,2012,4789123
TN,2013,4833006
TN,2014,4882202
TN,2015,4930672
TX,2005,15796176
TX,2006,16212627
TX,2007,16555114
TX,2008,16899228
TX,2009,17258152
TX,2010,17609018
TX,2011,17959823
TX,2012,18342690
TX,2013,18682429
TX,2014,19071110
TX,2015,19472415
UT,2005,1603212
UT,2006,1649013
UT,2007,1694038
UT,2008,1735084
UT,2009,1773731
UT,2010,1810759
UT,2011,1846080
UT,2012,1880663
UT,2013,1916530
UT,2014,1949987
UT,2015,1988007
VA,2005,5543645
VA,2006,5627138
VA,2007,5693928
VA,2008,5766351
VA,2009,5849095
VA,2010,5939561
VA,2011,6018282
VA,2012,6096790
VA,2013,6169197
VA,2014,6227639
VA,2015,6279131
VT,2005,461197
VT,2006,464996
VT,2007,467510
VT,2008,470018
VT,2009,473026
VT,2010,475755
VT,2011,477487
VT,2012,478883
VT,2013,481290
VT,2014,482784
VT,2015,483667
WA,2005,4558934
WA,2006,4656823
WA,2007,4731997
WA,2008,4815962
WA,2009,4903539
WA,2010,4972420
WA,2011,5053277
WA,2012,5127318
WA,2013,5197304
WA,2014,5276798
WA,2015,5371753
WI,2005,4029135
WI,2006,4064186
WI,2007,4097965
WI,2008,4129806
WI,2009,4161406
WI,2010,4189672
WI,2011,4213249
WI,2012,4240161
WI,2013,4267110
WI,2014,4291738
WI,2015,4309161
WV,2005,1380608
WV,2006,1388221
WV,2007,1394161
WV,2008,1399417
WV,2009,1406907
WV,2010,1415969
WV,2011,1420910
WV,2012,1424074
WV,2013,1423616
WV,2014,1421710
WV,2015,1417188
WY,2005,374052
WY,2006,381457
WY,2007,390519
WY,2008,398445
WY,2009,408396
WY,2010,412956
WY,2011,416658
WY,2012,424726
WY,2013,429157
WY,2014,430399
WY,2015,432206
